Five-Digit ZIP Code,Year,Annual Change (%),HPI
22560,2018,-2.87,131.33
22567,2018,20.67,194.39
22572,2018,-0.22,132
22578,2018,-7.5,163.96
22580,2018,11.23,172.41
22601,2018,3.16,463.78
22602,2018,5.05,185.51
22603,2018,8.95,194.18
22610,2018,44.67,225.53
22611,2018,6.83,198.56
22620,2018,6.27,186.24
22624,2018,8.16,216.31
22625,2018,5.24,179.15
22630,2018,3.95,329.16
22637,2018,6.35,189.58
22639,2018,4.65,148.78
22642,2018,5.72,195.65
22644,2018,18.19,169.48
22645,2018,6.03,184.77
22654,2018,8.29,127.07
22655,2018,4.81,197.4
22656,2018,-5.83,203.11
22657,2018,-0.32,191.84
22660,2018,3.18,169.88
22663,2018,-2.34,151.62
22664,2018,7.04,184
22701,2018,2.3,285.62
22712,2018,6.87,212.34
22713,2018,-9.11,152.14
22716,2018,-13.29,151.72
22720,2018,-2.76,153.21
22724,2018,4.71,212.33
22727,2018,1.35,128.26
22728,2018,7.38,203.87
22733,2018,-2.98,152.33
22734,2018,4.37,174.49
22735,2018,21.39,162.29
22737,2018,7.86,206.21
22740,2018,0,157.74
22742,2018,18.53,220.52
22801,2018,3.37,402.17
22802,2018,5.53,359.74
22812,2018,5.29,289.28
22815,2018,2.62,186.15
22821,2018,3.77,278.11
22824,2018,1.05,168.81
22827,2018,1.42,172.9
22835,2018,1.43,199.51
22840,2018,6.75,179.74
22841,2018,-10.47,147.74
22842,2018,-0.59,168.95
22844,2018,-5.39,179.7
22846,2018,6.78,160.05
22849,2018,8.09,198.1
22851,2018,0.18,148.35
22853,2018,6.57,167.69
22901,2018,7.09,631.66
22902,2018,3.4,635.79
22903,2018,6.2,709.41
22911,2018,14.22,447.38
22920,2018,-0.19,206.93
22923,2018,2.53,191.11
22932,2018,8.96,248.94
22936,2018,-1.04,288.39
22939,2018,2.4,179.22
22942,2018,9.66,205.9
22947,2018,4.42,175.62
22952,2018,8.44,148.82
22958,2018,0,121.56
22959,2018,-4.76,158.94
22960,2018,0.08,201.88
22963,2018,5.45,258.43
22968,2018,4.79,209.77
22971,2018,6.25,169.34
22973,2018,8.04,181.29
22974,2018,4.81,157.04
22980,2018,3.92,351.62
23002,2018,3.58,180.16
23005,2018,5.54,316.92
23009,2018,7.01,216.19
23011,2018,-12.61,158.98
23015,2018,3.08,158.03
23024,2018,5.72,205.02
23030,2018,1.7,160.56
23038,2018,12.12,186.73
23039,2018,20.4,229.35
23040,2018,13.29,120.72
23043,2018,3.54,155.84
23047,2018,-1.19,162.17
23059,2018,6.02,280.07
23060,2018,5.65,484.13
23061,2018,0.6,202.21
23062,2018,-3.47,171.85
23063,2018,9.05,205.19
23065,2018,10.81,212.82
23069,2018,3.79,162.81
23072,2018,-4.24,198.2
23075,2018,5.41,233.39
23083,2018,0,123.95
23084,2018,-1.51,128.07
23086,2018,-3.27,150.75
23089,2018,4.37,226.09
23093,2018,7.21,168.09
23102,2018,2.78,211.01
23103,2018,10.49,272.23
23109,2018,26.94,101.64
23111,2018,3.32,200.45
23112,2018,4.69,423.91
23113,2018,2.15,404.43
23114,2018,4.98,324.69
23116,2018,2.81,192.89
23117,2018,4.62,215.93
23120,2018,3.79,278.7
23124,2018,1.65,195.74
23138,2018,10.55,87.58
23139,2018,5.74,309.9
23140,2018,-9.72,174.72
23141,2018,3.98,203.14
23146,2018,5,203.38
23149,2018,34.62,142.07
23150,2018,5.01,325.02
23153,2018,4.24,181.74
23168,2018,-4.56,207
23175,2018,3.86,153.32
23181,2018,2.26,200.96
23185,2018,-0.39,512.22
23188,2018,4.64,413.54
23192,2018,1.59,182.44
23220,2018,8.89,1059.97
23221,2018,11.08,1097.98
23222,2018,8.86,363.43
23223,2018,5.92,486.6
23224,2018,13.66,372.15
23225,2018,10.5,648.32
23226,2018,6.27,881.44
23227,2018,6.89,600.63
23228,2018,7.26,569.87
23229,2018,5.56,602.23
23230,2018,6.23,363.52
23231,2018,3.91,401.13
23233,2018,5.65,409.22
23234,2018,6.18,397.42
23235,2018,6.61,489.87
23236,2018,6.34,400.51
23237,2018,8.22,437.96
23238,2018,4.45,480.22
23294,2018,7.87,500.16
23310,2018,8.24,300.2
23314,2018,2.92,224.53
23315,2018,-8.34,147.22
23320,2018,2.73,476.16
23321,2018,0.7,507.75
23322,2018,3.83,670.24
23323,2018,2.38,302.54
23324,2018,3.33,214.02
23325,2018,1.28,502.36
23336,2018,-1.69,244.03
23405,2018,0,126.53
23410,2018,0,134.14
23417,2018,-17.25,136.5
23421,2018,-2.33,111.55
23430,2018,3.45,265.35
23432,2018,-3.11,200.34
23433,2018,-8.95,237.01
23434,2018,1.18,542.72
23435,2018,-1.53,271.07
23436,2018,2.06,192.26
23437,2018,-10.83,195.56
23438,2018,-7.72,208.67
23451,2018,1.61,860.38
23452,2018,1.84,667.26
23453,2018,-0.21,277.53
23454,2018,2.95,690.6
23455,2018,4.03,636.19
23456,2018,3.35,569.76
23457,2018,1.39,308.71
23462,2018,1.19,475.08
23464,2018,2.32,548.15
23487,2018,0.09,201.04
23502,2018,8.99,263.35
23503,2018,7.25,286.2
23504,2018,3.51,189.3
23505,2018,1,284.95
23507,2018,5.96,298.36
23508,2018,0.53,706.54
23509,2018,7.72,219.3
23513,2018,1.67,228.16
23517,2018,-6.1,274.75
23518,2018,6.35,266.76
23523,2018,-6.09,104.9
23601,2018,-3.6,230.46
23602,2018,2.84,249.78
23605,2018,0.38,185.48
23606,2018,2.63,385.74
23607,2018,-22.3,133.43
23608,2018,-0.23,219.86
23661,2018,9.05,225.45
23662,2018,3.14,557.21
23663,2018,1.41,190.4
23664,2018,-1.59,210.44
23666,2018,1.81,217.25
23669,2018,6.37,356.59
23692,2018,-0.89,408.48
23693,2018,6.07,267.37
23696,2018,8.11,291.11
23701,2018,-2.66,431.52
23702,2018,12.65,202.48
23703,2018,1.21,450.27
23704,2018,9.11,189.32
23707,2018,4.02,270.8
23803,2018,7.61,258.94
23805,2018,1.18,212.75
23824,2018,14.96,153.35
23831,2018,6.66,407.7
23832,2018,4.47,446.21
23833,2018,8.27,172.66
23834,2018,8.65,398.57
23836,2018,1.24,243.86
23837,2018,6.24,146.12
23838,2018,5.11,269.06
23841,2018,11.9,170.95
23842,2018,4.46,202.82
23847,2018,0.18,150.17
23851,2018,5.32,205.01
23860,2018,7.13,243.22
23866,2018,-3.47,169.57
23868,2018,-2.35,145.32
23875,2018,2.2,254.49
23881,2018,0,153.2
23883,2018,19.35,134.46
23885,2018,5.66,171.4
23890,2018,-8.53,144.3
23898,2018,13.53,228.56
23901,2018,0.21,177.56
23917,2018,17.81,151.09
23919,2018,-20.26,168.75
23924,2018,0.1,104.61
23927,2018,0.46,170.31
23930,2018,1.5,122.02
23944,2018,15.65,142.25
23947,2018,10.95,118.45
23970,2018,-3.52,155.31
23974,2018,2.92,87.33
